Data	Line4_E80_F-20
Recipe	GS_CALIBRATION_POLYTEC
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-37877.17
Y-Coord	-9749.43
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -6319.78	         0	   12.6901	   12.6901	   12.6901
2	  -6317.83	   1.95361	   15.0996	   15.0996	   15.0996
3	  -6316.33	   3.44678	   17.4597	   17.4597	   17.4597
4	  -6318.51	   1.27246	   18.5881	   18.5881	   18.5881
5	  -6324.85	  -5.07324	   18.3004	   18.3004	   18.3004
6	  -6329.12	   -9.3418	   17.0135	   17.0135	   17.0135
7	  -6330.87	  -11.0918	   14.8156	   14.8156	   14.8156
8	  -6342.01	  -22.2334	   12.0568	   12.0568	   12.0568
9	  -6350.85	  -31.0713	   10.0163	   10.0163	   10.0163
10	  -6349.42	  -29.6406	   9.42918	   9.42918	   9.42918
11	  -6351.09	  -31.3076	   9.34101	   9.34101	   9.34101
12	  -6355.87	  -36.0859	   8.51827	   8.51827	   8.51827
13	  -6362.54	  -42.7563	   7.03688	   7.03688	   7.03688
14	  -6369.49	   -49.709	   6.01615	   6.01615	   6.01615
15	  -6370.32	  -50.5381	   6.24767	   6.24767	   6.24767
16	  -6371.31	  -51.5259	   7.33925	   7.33925	   7.33925
17	  -6372.29	  -52.5142	    8.1194	    8.1194	    8.1194
18	  -6374.87	  -55.0903	   7.66054	   7.66054	   7.66054
19	  -6384.14	  -64.3584	   6.03802	   6.03802	   6.03802
20	  -6388.17	  -68.3853	   4.03116	   4.03116	   4.03116
21	  -6392.93	  -73.1533	    2.1498	    2.1498	    2.1498
22	  -6399.27	  -79.4863	  0.368214	  0.368214	  0.368214
23	  -6401.45	  -81.6709	  -1.61456	  -1.61456	  -1.61456
24	  -6409.32	  -89.5391	  -4.06956	  -4.06956	  -4.06956
25	  -6416.12	  -96.3369	  -7.06292	  -7.06292	  -7.06292
26	  -6419.42	  -99.6362	  -10.7439	  -10.7439	  -10.7439
27	  -6429.93	  -110.146	  -14.9344	  -14.9344	  -14.9344
28	  -6442.09	  -122.305	  -18.2721	  -18.2721	  -18.2721
29	  -6444.21	  -124.425	   -19.337	   -19.337	   -19.337
30	  -6441.58	  -121.804	  -18.5455	  -18.5455	  -18.5455
31	  -6443.87	  -124.088	  -17.4638	  -17.4638	  -17.4638
32	   -6450.1	  -130.321	  -16.9042	  -16.9042	  -16.9042
33	  -6450.44	  -130.655	  -17.2501	  -17.2501	  -17.2501
34	  -6450.69	  -130.908	   -19.534	   -19.534	   -19.534
35	  -6465.02	  -145.235	  -23.9887	  -23.9887	  -23.9887
36	  -6479.69	   -159.91	  -28.6149	  -28.6149	  -28.6149
37	  -6481.33	  -161.552	  -31.5142	  -31.5142	  -31.5142
38	  -6480.17	  -160.385	  -33.4566	  -33.4566	  -33.4566
39	  -6488.38	  -168.602	  -36.0879	  -36.0879	  -36.0879
40	  -6500.92	   -181.14	  -38.8138	  -38.8138	  -38.8138
41	  -6506.16	  -186.377	  -39.4031	  -39.4031	  -39.4031
42	  -6502.76	  -182.976	  -37.1434	  -37.1434	  -37.1434
43	  -6497.42	  -177.638	  -33.9297	  -33.9297	  -33.9297
44	  -6499.76	  -179.984	  -32.1388	  -32.1388	  -32.1388
45	  -6506.04	  -186.258	  -32.4086	  -32.4086	  -32.4086
46	  -6511.82	  -192.039	  -33.8981	  -33.8981	  -33.8981
47	  -6515.85	  -196.073	  -35.8566	  -35.8566	  -35.8566
48	     -6521	  -201.217	  -38.1741	  -38.1741	  -38.1741
49	  -6529.55	  -209.773	   -41.007	   -41.007	   -41.007
50	   -6531.9	  -212.117	  -44.8439	  -44.8439	  -44.8439
51	  -6540.18	  -220.396	  -50.1105	  -50.1105	  -50.1105
52	  -6558.32	  -238.535	  -55.6175	  -55.6175	  -55.6175
53	  -6564.83	  -245.052	  -58.9596	  -58.9596	  -58.9596
54	   -6564.2	  -244.423	  -59.4567	  -59.4567	  -59.4567
55	  -6561.74	  -241.958	  -59.1165	  -59.1165	  -59.1165
56	  -6566.87	   -247.09	  -59.9798	  -59.9798	  -59.9798
57	   -6579.2	  -259.424	  -61.4376	  -61.4376	  -61.4376
58	  -6583.75	  -263.966	  -61.1201	  -61.1201	  -61.1201
59	  -6578.77	  -258.989	  -58.1106	  -58.1106	  -58.1106
60	  -6574.69	  -254.915	  -53.9708	  -53.9708	  -53.9708
61	  -6575.03	  -255.248	  -50.6584	  -50.6584	  -50.6584
62	   -6578.6	  -258.815	  -48.7175	  -48.7175	  -48.7175
63	  -6580.96	  -261.175	  -47.7203	  -47.7203	  -47.7203
64	  -6581.76	  -261.983	  -47.4548	  -47.4548	  -47.4548
65	   -6587.6	  -267.817	   -47.945	   -47.945	   -47.945
66	  -6592.11	  -272.333	  -48.8205	  -48.8205	  -48.8205
67	  -6597.07	   -277.29	  -49.4037	  -49.4037	  -49.4037
68	  -6600.04	  -280.257	  -49.2913	  -49.2913	  -49.2913
69	  -6600.12	  -280.341	  -48.4912	  -48.4912	  -48.4912
70	  -6605.97	  -286.189	  -46.8632	  -46.8632	  -46.8632
71	  -6605.81	  -286.028	  -44.1864	  -44.1864	  -44.1864
72	  -6600.91	  -281.127	  -41.4468	  -41.4468	  -41.4468
73	  -6600.79	  -281.012	  -40.8667	  -40.8667	  -40.8667
74	  -6608.93	  -289.146	  -43.5918	  -43.5918	  -43.5918
75	  -6625.14	  -305.356	  -48.0988	  -48.0988	  -48.0988
76	  -6631.24	   -311.46	  -52.0526	  -52.0526	  -52.0526
77	  -6630.23	  -310.451	  -55.1412	  -55.1412	  -55.1412
78	  -6639.92	  -320.139	  -58.2926	  -58.2926	  -58.2926
79	  -6651.22	  -331.438	   -60.977	   -60.977	   -60.977
80	  -6654.93	  -335.153	  -61.7389	  -61.7389	  -61.7389
81	  -6651.36	  -331.575	  -60.8768	  -60.8768	  -60.8768
82	  -6650.88	  -331.101	  -60.4664	  -60.4664	  -60.4664
83	  -6660.67	  -340.894	  -61.6521	  -61.6521	  -61.6521
84	  -6668.57	   -348.79	  -63.6731	  -63.6731	  -63.6731
85	  -6669.17	   -349.39	  -65.9871	  -65.9871	  -65.9871
86	  -6673.74	  -353.958	  -69.3074	  -69.3074	  -69.3074
87	  -6686.72	  -366.944	  -73.5629	  -73.5629	  -73.5629
88	  -6698.77	  -378.989	  -76.7672	  -76.7672	  -76.7672
89	  -6698.34	  -378.561	  -77.3725	  -77.3725	  -77.3725
90	  -6695.07	  -375.293	  -76.4864	  -76.4864	  -76.4864
91	   -6697.7	  -377.922	  -76.3611	  -76.3611	  -76.3611
92	  -6707.25	  -387.471	  -77.5636	  -77.5636	  -77.5636
93	  -6713.35	  -393.568	  -79.0024	  -79.0024	  -79.0024
94	   -6712.9	  -393.118	  -80.1677	  -80.1677	  -80.1677
95	  -6718.23	  -398.451	  -81.6147	  -81.6147	  -81.6147
96	  -6726.07	  -406.294	  -83.2703	  -83.2703	  -83.2703
97	  -6732.85	  -413.069	  -83.9563	  -83.9563	  -83.9563
98	  -6732.11	  -412.333	  -83.0385	  -83.0385	  -83.0385
99	  -6729.72	  -409.939	  -81.4315	  -81.4315	  -81.4315
100	  -6734.58	  -414.803	  -80.3277	  -80.3277	  -80.3277
101	  -6738.81	  -419.027	   -79.996	   -79.996	   -79.996
102	  -6739.15	  -419.373	  -80.5794	  -80.5794	  -80.5794
103	  -6743.99	  -424.213	  -82.7442	  -82.7442	  -82.7442
104	  -6753.63	  -433.854	  -86.6953	  -86.6953	  -86.6953
105	  -6763.47	  -443.689	  -91.4837	  -91.4837	  -91.4837
106	  -6772.54	  -452.756	  -95.8037	  -95.8037	  -95.8037
107	   -6777.1	   -457.32	  -99.1996	  -99.1996	  -99.1996
108	  -6781.57	  -461.788	  -102.346	  -102.346	  -102.346
109	  -6788.68	  -468.901	  -106.049	  -106.049	  -106.049
110	  -6798.74	  -478.957	  -110.083	  -110.083	  -110.083
111	  -6807.61	  -487.833	  -113.437	  -113.437	  -113.437
112	  -6808.81	  -489.034	  -115.641	  -115.641	  -115.641
113	  -6813.74	   -493.96	  -116.922	  -116.922	  -116.922
114	  -6822.41	  -502.628	  -117.015	  -117.015	  -117.015
115	   -6820.7	  -500.917	  -115.539	  -115.539	  -115.539
116	   -6817.7	  -497.919	  -113.567	  -113.567	  -113.567
117	  -6819.08	  -499.302	  -113.045	  -113.045	  -113.045
118	  -6827.45	  -507.667	  -114.559	  -114.559	  -114.559
119	  -6837.33	  -517.548	  -116.852	  -116.852	  -116.852
120	  -6838.45	  -518.669	  -118.748	  -118.748	  -118.748
121	  -6842.67	  -522.893	  -120.509	  -120.509	  -120.509
122	  -6848.39	  -528.612	  -122.871	  -122.871	  -122.871
123	  -6856.22	  -536.435	  -125.687	  -125.687	  -125.687
124	  -6864.39	  -544.614	   -127.98	   -127.98	   -127.98
125	  -6866.87	  -547.088	  -129.143	  -129.143	  -129.143
126	  -6867.68	  -547.901	  -129.732	  -129.732	  -129.732
127	  -6872.61	  -552.828	  -130.521	  -130.521	  -130.521
128	  -6881.01	  -561.229	  -131.229	  -131.229	  -131.229
129	  -6882.01	  -562.231	  -131.227	  -131.227	  -131.227
130	  -6881.52	  -561.741	   -131.13	   -131.13	   -131.13
131	  -6885.35	  -565.575	  -132.383	  -132.383	  -132.383
132	  -6893.35	  -573.568	  -135.252	  -135.252	  -135.252
