#greylevel,thickness
0,-0.0552
1,-0.0701
2,-0.1088
3,-0.1275
4,-0.1610
5,-0.1879
6,-0.2279
7,-0.2573
8,-0.2710
9,-0.2925
10,-0.3389
11,-0.3641
12,-0.3894
13,-0.4237
14,-0.4665
15,-0.4903
16,-0.5051
17,-0.5271
18,-0.5539
19,-0.5737
20,-0.5932
21,-0.6140
22,-0.6348
23,-0.6617
24,-0.6834
25,-0.6990
26,-0.7175
27,-0.7423
28,-0.7547
29,-0.7812
30,-0.7951
31,-0.8101
32,-0.8345
33,-0.8665
34,-0.8938
35,-0.9120
36,-0.9208
37,-0.9511
38,-0.9702
39,-1.0071
40,-1.0416
41,-1.0732
42,-1.1027
43,-1.1345
44,-1.1682
45,-1.2074
46,-1.2350
47,-1.2509
48,-1.2749
49,-1.2963
50,-1.3049
51,-1.3333
52,-1.3424
53,-1.3593
54,-1.3622
55,-1.3730
56,-1.3821
57,-1.3924
58,-1.4055
59,-1.4076
60,-1.4081
61,-1.4168
62,-1.4232
63,-1.4324
64,-1.4320
65,-1.4330
66,-1.4369
67,-1.4375
68,-1.4414
69,-1.4475
70,-1.4457
71,-1.4521
72,-1.4507
73,-1.4605
74,-1.4765
75,-1.4752
76,-1.4839
77,-1.4968
78,-1.5092
79,-1.5243
80,-1.5343
81,-1.5479
82,-1.5588
83,-1.5750
84,-1.5959
85,-1.6192
86,-1.6474
87,-1.6744
88,-1.6972
89,-1.7178
90,-1.7335
91,-1.7428
92,-1.7540
93,-1.7587
94,-1.7688
95,-1.7720
96,-1.7723
97,-1.7922
98,-1.7945
99,-1.7873
100,-1.7765
101,-1.7704
102,-1.7727
103,-1.7666
104,-1.7665
105,-1.7597
106,-1.7539
107,-1.7465
108,-1.7377
109,-1.7306
110,-1.7334
111,-1.7317
112,-1.7274
113,-1.7191
114,-1.7172
115,-1.7236
116,-1.7237
117,-1.7330
118,-1.7347
119,-1.7451
120,-1.7522
121,-1.7555
122,-1.7646
123,-1.7740
124,-1.7875
125,-1.8022
126,-1.1504
127,-0.8923
