Data	Pyra2_E80_F-20
Recipe	GS_CALIBRATION_POLYTEC
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-37878.45
Y-Coord	-9959.40
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	   -6835.9	         0	   9.48641	   9.48641	   9.48641
2	  -6843.26	  -7.35596	   4.44531	   4.44531	   4.44531
3	  -6851.42	  -15.5171	  -0.61659	  -0.61659	  -0.61659
4	  -6859.77	  -23.8672	  -5.62208	  -5.62208	  -5.62208
5	   -6870.6	  -34.6978	  -9.64463	  -9.64463	  -9.64463
6	  -6877.82	   -41.917	  -11.1638	  -11.1638	  -11.1638
7	  -6876.84	  -40.9399	  -9.68537	  -9.68537	  -9.68537
8	  -6870.91	  -35.0029	  -6.82326	  -6.82326	  -6.82326
9	  -6872.63	  -36.7222	  -4.83327	  -4.83327	  -4.83327
10	  -6879.52	  -43.6162	  -4.22211	  -4.22211	  -4.22211
11	  -6883.18	  -47.2754	  -3.48331	  -3.48331	  -3.48331
12	  -6886.02	  -50.1172	 -0.617533	 -0.617533	 -0.617533
13	  -6884.36	  -48.4556	   5.24941	   5.24941	   5.24941
14	   -6870.5	  -34.5957	   12.6455	   12.6455	   12.6455
15	  -6866.32	   -30.416	   18.5938	   18.5938	   18.5938
16	  -6871.33	  -35.4297	   21.5358	   21.5358	   21.5358
17	  -6875.54	  -39.6377	   22.3215	   22.3215	   22.3215
18	  -6879.05	  -43.1416	   22.1417	   22.1417	   22.1417
19	  -6879.17	  -43.2676	   20.7683	   20.7683	   20.7683
20	  -6887.46	  -51.5581	   17.0212	   17.0212	   17.0212
21	  -6896.94	  -61.0396	   10.1346	   10.1346	   10.1346
22	  -6910.06	  -74.1563	  0.701235	  0.701235	  0.701235
23	  -6932.81	  -96.9038	  -8.75664	  -8.75664	  -8.75664
24	  -6943.74	  -107.836	  -15.0827	  -15.0827	  -15.0827
25	  -6941.55	  -105.649	  -17.6677	  -17.6677	  -17.6677
26	  -6941.79	  -105.882	   -18.926	   -18.926	   -18.926
27	  -6950.77	  -114.863	  -20.8005	  -20.8005	  -20.8005
28	  -6961.34	  -125.437	   -22.382	   -22.382	   -22.382
29	  -6962.55	  -126.644	  -21.4506	  -21.4506	  -21.4506
30	   -6961.2	  -125.299	   -16.845	   -16.845	   -16.845
31	  -6955.91	  -120.001	  -9.08297	  -9.08297	  -9.08297
32	   -6944.4	  -108.497	 -0.207024	 -0.207024	 -0.207024
33	  -6937.53	  -101.623	   6.99722	   6.99722	   6.99722
34	   -6939.4	    -103.5	   10.9334	   10.9334	   10.9334
35	  -6945.64	  -109.736	   12.2806	   12.2806	   12.2806
36	  -6948.15	  -112.246	   12.6572	   12.6572	   12.6572
37	  -6950.36	  -114.454	    12.602	    12.602	    12.602
38	   -6952.3	  -116.394	   10.9741	   10.9741	   10.9741
39	  -6956.99	  -121.087	   5.97437	   5.97437	   5.97437
40	  -6973.96	  -138.053	  -2.88723	  -2.88723	  -2.88723
41	   -6993.7	  -157.798	  -13.8602	  -13.8602	  -13.8602
42	  -7006.39	  -170.488	  -24.5881	  -24.5881	  -24.5881
43	   -7017.7	  -181.796	  -33.8743	  -33.8743	  -33.8743
44	  -7031.94	  -196.039	  -41.2114	  -41.2114	  -41.2114
45	  -7039.42	  -203.519	  -46.0665	  -46.0665	  -46.0665
46	  -7043.28	   -207.38	  -48.4811	  -48.4811	  -48.4811
47	  -7046.24	  -210.338	  -49.3793	  -49.3793	  -49.3793
48	  -7048.74	  -212.838	  -49.8594	  -49.8594	  -49.8594
49	  -7054.56	  -218.651	  -50.5525	  -50.5525	  -50.5525
50	  -7057.02	  -221.117	  -51.7759	  -51.7759	  -51.7759
51	  -7062.17	  -226.261	  -53.8877	  -53.8877	  -53.8877
52	  -7069.57	  -233.667	  -56.9141	  -56.9141	  -56.9141
53	  -7077.71	  -241.804	  -59.9375	  -59.9375	  -59.9375
54	  -7086.64	  -250.735	  -61.3789	  -61.3789	  -61.3789
55	  -7085.94	  -250.033	  -60.5981	  -60.5981	  -60.5981
56	  -7081.25	  -245.346	  -59.3371	  -59.3371	  -59.3371
57	  -7083.86	  -247.953	  -60.5914	  -60.5914	  -60.5914
58	  -7094.98	  -259.077	   -65.631	   -65.631	   -65.631
59	  -7112.84	  -276.933	  -72.6612	  -72.6612	  -72.6612
60	  -7123.02	  -287.116	  -78.7052	  -78.7052	  -78.7052
61	   -7125.5	  -289.597	  -82.1974	  -82.1974	  -82.1974
