Data	Ramp3_E80_F-20
Recipe	GS_CALIBRATION_POLYTEC
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-37877.17
Y-Coord	-10029.83
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -7068.52	         0	   19.1568	   19.1568	   19.1568
2	  -7071.96	  -3.44629	   18.5962	   18.5962	   18.5962
3	  -7074.57	  -6.05518	   18.1089	   18.1089	   18.1089
4	  -7076.76	  -8.23779	   16.5383	   16.5383	   16.5383
5	  -7083.53	  -15.0132	   13.4179	   13.4179	   13.4179
6	  -7098.71	  -30.1895	   10.1503	   10.1503	   10.1503
7	  -7103.05	  -34.5313	   8.69329	   8.69329	   8.69329
8	  -7096.37	  -27.8521	   8.56201	   8.56201	   8.56201
9	  -7100.39	  -31.8677	   7.24903	   7.24903	   7.24903
10	   -7113.8	  -45.2847	   3.82001	   3.82001	   3.82001
11	  -7122.22	  -53.7065	 -0.314394	 -0.314394	 -0.314394
12	  -7126.92	  -58.4063	   -4.0313	   -4.0313	   -4.0313
13	  -7131.12	  -62.6055	  -7.58758	  -7.58758	  -7.58758
14	  -7141.84	  -73.3213	  -10.6894	  -10.6894	  -10.6894
15	  -7153.07	  -84.5483	  -11.1886	  -11.1886	  -11.1886
16	  -7149.24	  -80.7251	  -7.54559	  -7.54559	  -7.54559
17	  -7134.74	  -66.2266	  -2.17186	  -2.17186	  -2.17186
18	  -7130.67	  -62.1519	  0.246061	  0.246061	  0.246061
19	  -7147.92	  -79.4038	  -1.47295	  -1.47295	  -1.47295
20	  -7163.54	  -95.0264	  -3.34424	  -3.34424	  -3.34424
21	  -7158.33	   -89.812	  -1.64456	  -1.64456	  -1.64456
22	  -7147.54	  -79.0171	   2.54845	   2.54845	   2.54845
23	  -7149.19	  -80.6704	   5.92334	   5.92334	   5.92334
24	  -7156.54	   -88.019	   7.34213	   7.34213	   7.34213
25	  -7158.13	  -89.6133	   7.34342	   7.34342	   7.34342
26	  -7156.68	  -88.1626	   5.36839	   5.36839	   5.36839
27	   -7166.7	  -98.1836	  0.617573	  0.617573	  0.617573
28	  -7187.92	  -119.405	  -5.02924	  -5.02924	  -5.02924
29	  -7194.34	  -125.825	  -8.29817	  -8.29817	  -8.29817
30	  -7187.44	  -118.923	     -8.98	     -8.98	     -8.98
31	  -7188.49	  -119.969	  -9.98402	  -9.98402	  -9.98402
32	  -7202.64	  -134.121	  -12.6701	  -12.6701	  -12.6701
33	  -7213.18	  -144.664	  -15.1054	  -15.1054	  -15.1054
34	  -7211.65	  -143.129	  -15.4055	  -15.4055	  -15.4055
35	  -7211.44	  -142.925	  -14.3297	  -14.3297	  -14.3297
36	  -7211.31	   -142.79	  -13.8897	  -13.8897	  -13.8897
37	  -7219.25	  -150.736	  -14.6317	  -14.6317	  -14.6317
38	  -7229.55	  -161.032	  -14.9868	  -14.9868	  -14.9868
39	  -7226.31	  -157.796	  -13.6062	  -13.6062	  -13.6062
40	  -7220.92	    -152.4	  -11.0844	  -11.0844	  -11.0844
41	  -7230.76	  -162.245	  -8.06863	  -8.06863	  -8.06863
42	  -7228.92	  -160.399	  -4.20838	  -4.20838	  -4.20838
43	  -7219.07	  -150.548	 -0.652738	 -0.652738	 -0.652738
44	  -7219.08	  -150.557	 -0.259677	 -0.259677	 -0.259677
45	   -7234.7	  -166.182	  -3.79047	  -3.79047	  -3.79047
46	  -7249.08	  -180.563	  -8.71025	  -8.71025	  -8.71025
47	  -7249.85	  -181.333	  -12.8195	  -12.8195	  -12.8195
48	  -7254.13	  -185.609	  -16.4929	  -16.4929	  -16.4929
49	  -7265.54	  -197.018	  -20.3095	  -20.3095	  -20.3095
50	  -7275.97	  -207.452	  -22.9727	  -22.9727	  -22.9727
51	  -7278.46	   -209.94	  -23.1303	  -23.1303	  -23.1303
52	  -7270.64	  -202.124	  -21.7992	  -21.7992	  -21.7992
53	  -7276.12	  -207.599	  -21.1081	  -21.1081	  -21.1081
54	   -7284.9	   -216.38	  -21.4355	  -21.4355	  -21.4355
55	  -7286.15	  -217.628	  -21.8228	  -21.8228	  -21.8228
56	  -7287.72	  -219.206	  -22.1434	  -22.1434	  -22.1434
57	  -7291.95	   -223.43	  -22.9483	  -22.9483	  -22.9483
58	  -7299.35	   -230.83	  -23.9396	  -23.9396	  -23.9396
59	  -7304.56	  -236.046	   -23.961	   -23.961	   -23.961
60	  -7303.84	  -235.322	  -22.6229	  -22.6229	  -22.6229
61	  -7300.68	   -232.16	  -21.1151	  -21.1151	  -21.1151
62	  -7305.48	  -236.967	  -20.5442	  -20.5442	  -20.5442
63	  -7315.86	  -247.338	  -20.1554	  -20.1554	  -20.1554
64	  -7313.26	  -244.745	  -18.8152	  -18.8152	  -18.8152
65	   -7309.7	  -241.178	  -17.5619	  -17.5619	  -17.5619
66	  -7313.04	   -244.52	  -18.7036	  -18.7036	  -18.7036
67	  -7324.84	  -256.318	  -22.7707	  -22.7707	  -22.7707
68	  -7338.72	  -270.204	  -27.7562	  -27.7562	  -27.7562
69	   -7343.9	  -275.377	  -31.4446	  -31.4446	  -31.4446
70	  -7345.98	  -277.461	  -33.5743	  -33.5743	  -33.5743
71	  -7350.42	  -281.902	  -35.2591	  -35.2591	  -35.2591
72	  -7357.33	  -288.808	  -37.2269	  -37.2269	  -37.2269
73	  -7362.69	  -294.176	  -39.4562	  -39.4562	  -39.4562
74	  -7366.91	  -298.391	  -41.8097	  -41.8097	  -41.8097
75	  -7374.25	  -305.734	  -43.8618	  -43.8618	  -43.8618
76	  -7382.18	  -313.659	   -44.401	   -44.401	   -44.401
77	  -7382.22	    -313.7	  -42.5069	  -42.5069	  -42.5069
78	  -7375.66	  -307.138	  -39.3527	  -39.3527	  -39.3527
79	  -7374.43	  -305.914	  -37.7357	  -37.7357	  -37.7357
80	  -7381.39	  -312.868	  -39.2968	  -39.2968	  -39.2968
81	  -7395.49	   -326.97	  -43.0204	  -43.0204	  -43.0204
82	  -7401.03	  -332.507	  -47.1812	  -47.1812	  -47.1812
83	  -7402.03	  -333.511	  -51.7965	  -51.7965	  -51.7965
84	  -7416.19	  -347.676	  -57.5538	  -57.5538	  -57.5538
85	  -7429.64	  -361.121	  -63.5258	  -63.5258	  -63.5258
86	  -7436.97	  -368.451	  -68.1121	  -68.1121	  -68.1121
87	  -7438.01	  -369.487	  -71.1387	  -71.1387	  -71.1387
88	  -7446.22	  -377.704	   -73.187	   -73.187	   -73.187
89	  -7454.18	  -385.658	  -73.8655	  -73.8655	  -73.8655
90	  -7452.65	  -384.135	  -72.4842	  -72.4842	  -72.4842
91	  -7451.64	  -383.117	  -69.6534	  -69.6534	  -69.6534
92	   -7449.2	  -380.677	  -66.9214	  -66.9214	  -66.9214
93	  -7452.16	  -383.641	   -65.008	   -65.008	   -65.008
94	  -7460.61	  -392.091	  -63.0763	  -63.0763	  -63.0763
95	  -7454.93	  -386.411	  -60.7247	  -60.7247	  -60.7247
96	  -7449.64	  -381.118	  -59.8934	  -59.8934	  -59.8934
97	  -7459.99	  -391.468	  -62.5498	  -62.5498	  -62.5498
98	  -7476.36	  -407.843	  -67.4126	  -67.4126	  -67.4126
99	  -7485.69	  -417.167	  -71.3726	  -71.3726	  -71.3726
100	   -7482.6	  -414.086	  -73.3981	  -73.3981	  -73.3981
101	   -7487.6	  -419.078	  -74.8836	  -74.8836	  -74.8836
102	  -7495.93	  -427.414	  -76.7374	  -76.7374	  -76.7374
103	  -7501.63	  -433.112	  -78.2433	  -78.2433	  -78.2433
104	  -7505.03	   -436.51	  -78.3027	  -78.3027	  -78.3027
105	  -7505.76	  -437.239	  -76.0696	  -76.0696	  -76.0696
106	  -7509.45	  -440.935	  -70.8733	  -70.8733	  -70.8733
107	  -7497.47	  -428.947	  -63.5733	  -63.5733	  -63.5733
108	  -7484.89	  -416.375	  -57.7376	  -57.7376	  -57.7376
109	  -7490.39	  -421.875	  -56.8057	  -56.8057	  -56.8057
110	  -7506.06	  -437.546	  -60.0228	  -60.0228	  -60.0228
111	  -7518.42	    -449.9	  -63.1758	  -63.1758	  -63.1758
112	  -7518.34	  -449.822	  -63.3642	  -63.3642	  -63.3642
113	  -7511.18	  -442.666	  -61.8758	  -61.8758	  -61.8758
114	  -7513.17	  -444.651	   -61.976	   -61.976	   -61.976
115	  -7525.35	  -456.835	  -64.7217	  -64.7217	  -64.7217
116	  -7537.05	  -468.532	  -68.2582	  -68.2582	  -68.2582
