#greylevel,thickness
0,-0.0877
1,-0.0751
2,-0.1040
3,-0.1145
4,-0.1297
5,-0.1459
6,-0.1698
7,-0.1978
8,-0.2208
9,-0.2457
10,-0.2741
11,-0.3018
12,-0.3336
13,-0.3585
14,-0.3878
15,-0.4188
16,-0.4483
17,-0.4768
18,-0.5028
19,-0.5344
20,-0.5644
21,-0.5842
22,-0.6192
23,-0.6471
24,-0.6666
25,-0.7054
26,-0.7337
27,-0.7587
28,-0.7851
29,-0.8120
30,-0.8360
31,-0.8589
32,-0.8826
33,-0.9108
34,-0.9337
35,-0.9537
36,-0.9782
37,-0.9996
38,-1.0171
39,-1.0409
40,-1.0598
41,-1.0843
42,-1.1015
43,-1.1140
44,-1.1340
45,-1.1545
46,-1.1733
47,-1.1896
48,-1.2068
49,-1.2210
50,-1.2349
51,-1.2490
52,-1.2664
53,-1.2811
54,-1.2973
55,-1.3114
56,-1.3292
57,-1.3409
58,-1.3501
59,-1.3599
60,-1.3742
61,-1.3873
62,-1.4010
63,-1.4117
64,-1.4274
65,-1.4372
66,-1.4475
67,-1.4543
68,-1.4652
69,-1.4728
70,-1.4841
71,-1.4913
72,-1.5018
73,-1.5130
74,-1.5260
75,-1.5321
76,-1.5446
77,-1.5502
78,-1.5603
79,-1.5665
80,-1.5707
81,-1.5767
82,-1.5855
83,-1.5901
84,-1.6022
85,-1.6082
86,-1.6176
87,-1.6237
88,-1.6350
89,-1.6432
90,-1.6477
91,-1.6552
92,-1.6627
93,-1.6719
94,-1.6774
95,-1.6814
96,-1.6876
97,-1.6930
98,-1.6971
99,-1.6998
100,-1.7058
101,-1.7096
102,-1.7134
103,-1.7204
104,-1.7241
105,-1.7300
106,-1.7352
107,-1.7397
108,-1.7442
109,-1.7485
110,-1.7537
111,-1.7597
112,-1.7674
113,-1.7724
114,-1.7782
115,-1.7842
116,-1.7877
117,-1.7918
118,-1.7968
119,-1.8007
120,-1.8042
121,-1.8088
122,-1.8070
123,-1.8051
124,-1.8112
125,-1.8099
126,-1.8133
127,-1.8213
