#greylevel,thickness
#Root Mean Squared Error (RMSE): {rmse}
0,0.0426
1,0.0029
2,-0.0360
3,-0.0741
4,-0.1115
5,-0.1482
6,-0.1841
7,-0.2194
8,-0.2539
9,-0.2878
10,-0.3210
11,-0.3536
12,-0.3855
13,-0.4168
14,-0.4475
15,-0.4776
16,-0.5071
17,-0.5361
18,-0.5644
19,-0.5922
20,-0.6195
21,-0.6462
22,-0.6724
23,-0.6981
24,-0.7233
25,-0.7480
26,-0.7722
27,-0.7960
28,-0.8193
29,-0.8421
30,-0.8645
31,-0.8864
32,-0.9079
33,-0.9290
34,-0.9497
35,-0.9700
36,-0.9898
37,-1.0093
38,-1.0284
39,-1.0472
40,-1.0656
41,-1.0836
42,-1.1012
43,-1.1185
44,-1.1355
45,-1.1521
46,-1.1685
47,-1.1845
48,-1.2001
49,-1.2155
50,-1.2306
51,-1.2454
52,-1.2599
53,-1.2741
54,-1.2880
55,-1.3017
56,-1.3151
57,-1.3282
58,-1.3411
59,-1.3537
60,-1.3661
61,-1.3782
62,-1.3901
63,-1.4018
64,-1.4132
65,-1.4244
66,-1.4354
67,-1.4462
68,-1.4567
69,-1.4671
70,-1.4773
71,-1.4872
72,-1.4970
73,-1.5065
74,-1.5159
75,-1.5251
76,-1.5342
77,-1.5430
78,-1.5517
79,-1.5602
80,-1.5685
81,-1.5767
82,-1.5847
83,-1.5926
84,-1.6003
85,-1.6078
86,-1.6152
87,-1.6225
88,-1.6296
89,-1.6366
90,-1.6434
91,-1.6501
92,-1.6567
93,-1.6632
94,-1.6695
95,-1.6757
96,-1.6818
97,-1.6877
98,-1.6936
99,-1.6993
100,-1.7049
101,-1.7104
102,-1.7158
103,-1.7211
104,-1.7263
105,-1.7314
106,-1.7364
107,-1.7413
108,-1.7461
109,-1.7508
110,-1.7554
111,-1.7599
112,-1.7643
113,-1.7687
114,-1.7729
115,-1.7771
116,-1.7812
117,-1.7852
118,-1.7892
119,-1.7930
120,-1.7968
121,-1.8005
122,-1.8041
123,-1.8077
124,-1.8112
125,-1.8146
126,-1.8180
127,-1.8213
0,0.0426
1,0.0029
2,-0.0360
3,-0.0741
4,-0.1115
5,-0.1482
6,-0.1841
7,-0.2194
8,-0.2539
9,-0.2878
10,-0.3210
11,-0.3536
12,-0.3855
13,-0.4168
14,-0.4475
15,-0.4776
16,-0.5071
17,-0.5361
18,-0.5644
19,-0.5922
20,-0.6195
21,-0.6462
22,-0.6724
23,-0.6981
24,-0.7233
25,-0.7480
26,-0.7722
27,-0.7960
28,-0.8193
29,-0.8421
30,-0.8645
31,-0.8864
32,-0.9079
33,-0.9290
34,-0.9497
35,-0.9700
36,-0.9898
37,-1.0093
38,-1.0284
39,-1.0472
40,-1.0656
41,-1.0836
42,-1.1012
43,-1.1185
44,-1.1355
45,-1.1521
46,-1.1685
47,-1.1845
48,-1.2001
49,-1.2155
50,-1.2306
51,-1.2454
52,-1.2599
53,-1.2741
54,-1.2880
55,-1.3017
56,-1.3151
57,-1.3282
58,-1.3411
59,-1.3537
60,-1.3661
61,-1.3782
62,-1.3901
63,-1.4018
64,-1.4132
65,-1.4244
66,-1.4354
67,-1.4462
68,-1.4567
69,-1.4671
70,-1.4773
71,-1.4872
72,-1.4970
73,-1.5065
74,-1.5159
75,-1.5251
76,-1.5342
77,-1.5430
78,-1.5517
79,-1.5602
80,-1.5685
81,-1.5767
82,-1.5847
83,-1.5926
84,-1.6003
85,-1.6078
86,-1.6152
87,-1.6225
88,-1.6296
89,-1.6366
90,-1.6434
91,-1.6501
92,-1.6567
93,-1.6632
94,-1.6695
95,-1.6757
96,-1.6818
97,-1.6877
98,-1.6936
99,-1.6993
100,-1.7049
101,-1.7104
102,-1.7158
103,-1.7211
104,-1.7263
105,-1.7314
106,-1.7364
107,-1.7413
108,-1.7461
109,-1.7508
110,-1.7554
111,-1.7599
112,-1.7643
113,-1.7687
114,-1.7729
115,-1.7771
116,-1.7812
117,-1.7852
118,-1.7892
119,-1.7930
120,-1.7968
121,-1.8005
122,-1.8041
123,-1.8077
124,-1.8112
125,-1.8146
126,-1.8180
127,-1.8213
0,0.0426
1,0.0029
2,-0.0360
3,-0.0741
4,-0.1115
5,-0.1482
6,-0.1841
7,-0.2194
8,-0.2539
9,-0.2878
10,-0.3210
11,-0.3536
12,-0.3855
13,-0.4168
14,-0.4475
15,-0.4776
16,-0.5071
17,-0.5361
18,-0.5644
19,-0.5922
20,-0.6195
21,-0.6462
22,-0.6724
23,-0.6981
24,-0.7233
25,-0.7480
26,-0.7722
27,-0.7960
28,-0.8193
29,-0.8421
30,-0.8645
31,-0.8864
32,-0.9079
33,-0.9290
34,-0.9497
35,-0.9700
36,-0.9898
37,-1.0093
38,-1.0284
39,-1.0472
40,-1.0656
41,-1.0836
42,-1.1012
43,-1.1185
44,-1.1355
45,-1.1521
46,-1.1685
47,-1.1845
48,-1.2001
49,-1.2155
50,-1.2306
51,-1.2454
52,-1.2599
53,-1.2741
54,-1.2880
55,-1.3017
56,-1.3151
57,-1.3282
58,-1.3411
59,-1.3537
60,-1.3661
61,-1.3782
62,-1.3901
63,-1.4018
64,-1.4132
65,-1.4244
66,-1.4354
67,-1.4462
68,-1.4567
69,-1.4671
70,-1.4773
71,-1.4872
72,-1.4970
73,-1.5065
74,-1.5159
75,-1.5251
76,-1.5342
77,-1.5430
78,-1.5517
79,-1.5602
80,-1.5685
81,-1.5767
82,-1.5847
83,-1.5926
84,-1.6003
85,-1.6078
86,-1.6152
87,-1.6225
88,-1.6296
89,-1.6366
90,-1.6434
91,-1.6501
92,-1.6567
93,-1.6632
94,-1.6695
95,-1.6757
96,-1.6818
97,-1.6877
98,-1.6936
99,-1.6993
100,-1.7049
101,-1.7104
102,-1.7158
103,-1.7211
104,-1.7263
105,-1.7314
106,-1.7364
107,-1.7413
108,-1.7461
109,-1.7508
110,-1.7554
111,-1.7599
112,-1.7643
113,-1.7687
114,-1.7729
115,-1.7771
116,-1.7812
117,-1.7852
118,-1.7892
119,-1.7930
120,-1.7968
121,-1.8005
122,-1.8041
123,-1.8077
124,-1.8112
125,-1.8146
126,-1.8180
127,-1.8213
