Data	Pyra2_E100_F-20
Recipe	GS_CALIBRATION_V2
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-3710.79
Y-Coord	-35558.68
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -8265.65	         0	   17928.6	   17928.6	   17928.6
2	  -8208.76	   56.8926	   17946.4	   17946.4	   17946.4
3	  -8149.42	    116.23	     17963	     17963	     17963
4	  -8175.47	   90.1758	   17963.7	   17963.7	   17963.7
5	  -8223.46	   42.1865	   17949.1	   17949.1	   17949.1
6	  -8219.97	   45.6797	     17928	     17928	     17928
7	  -8258.46	   7.18555	   17909.2	   17909.2	   17909.2
8	  -8311.11	   -45.459	   17904.3	   17904.3	   17904.3
9	  -8273.97	  -8.31738	     17921	     17921	     17921
10	  -8179.92	   85.7329	   17946.8	   17946.8	   17946.8
11	  -8161.09	   104.563	     17958	     17958	     17958
12	  -8226.39	   39.2637	     17947	     17947	     17947
13	  -8265.45	  0.196289	     17926	     17926	     17926
14	   -8260.4	   5.25098	   17906.9	   17906.9	   17906.9
15	  -8279.05	  -13.4043	   17893.3	   17893.3	   17893.3
16	  -8324.47	  -58.8203	   17891.7	   17891.7	   17891.7
17	   -8305.7	  -40.0518	   17908.6	   17908.6	   17908.6
18	  -8208.39	   57.2578	   17933.2	   17933.2	   17933.2
19	  -8174.51	   91.1426	   17940.6	   17940.6	   17940.6
20	  -8256.88	   8.77051	   17920.7	   17920.7	   17920.7
21	  -8326.23	   -60.585	   17889.6	   17889.6	   17889.6
22	  -8333.45	  -67.8047	     17869	     17869	     17869
23	  -8338.84	  -73.1904	   17868.1	   17868.1	   17868.1
24	  -8323.89	  -58.2441	   17884.7	   17884.7	   17884.7
25	  -8267.39	  -1.73926	   17908.9	   17908.9	   17908.9
26	  -8232.95	   32.7041	   17924.9	   17924.9	   17924.9
27	  -8245.71	   19.9375	     17921	     17921	     17921
28	  -8288.48	  -22.8311	   17898.9	   17898.9	   17898.9
29	  -8342.57	  -76.9238	   17872.1	   17872.1	   17872.1
30	  -8364.65	   -99.002	   17856.3	   17856.3	   17856.3
31	  -8366.27	  -100.624	   17861.8	   17861.8	   17861.8
32	  -8337.25	  -71.6006	   17888.2	   17888.2	   17888.2
33	  -8249.05	   16.5947	   17920.4	   17920.4	   17920.4
34	  -8211.93	   53.7236	   17936.9	   17936.9	   17936.9
35	  -8273.96	  -8.31055	     17930	     17930	     17930
36	  -8312.54	  -46.8936	   17911.2	   17911.2	   17911.2
37	   -8308.7	  -43.0537	   17893.7	   17893.7	   17893.7
38	  -8336.98	   -71.333	   17884.6	   17884.6	   17884.6
39	  -8356.41	  -90.7588	   17890.7	   17890.7	   17890.7
40	  -8319.85	  -54.1963	     17915	     17915	     17915
41	  -8237.97	   27.6836	   17944.2	   17944.2	   17944.2
42	  -8196.74	   68.9102	   17955.5	   17955.5	   17955.5
43	   -8268.3	  -2.65137	   17940.9	   17940.9	   17940.9
44	  -8344.31	  -78.6582	   17916.4	   17916.4	   17916.4
45	  -8321.58	  -55.9316	   17899.9	   17899.9	   17899.9
46	  -8317.19	  -51.5391	   17896.4	   17896.4	   17896.4
47	  -8369.18	  -103.534	   17908.9	   17908.9	   17908.9
48	  -8304.86	  -39.2139	     17938	     17938	     17938
49	  -8189.24	   76.4131	   17965.1	   17965.1	   17965.1
50	  -8209.33	   56.3145	   17965.9	   17965.9	   17965.9
51	  -8308.67	  -43.0244	   17942.2	   17942.2	   17942.2
52	  -8354.21	  -88.5625	   17919.8	   17919.8	   17919.8
53	  -8328.76	  -63.1123	   17916.5	   17916.5	   17916.5
54	  -8295.91	  -30.2578	   17929.1	   17929.1	   17929.1
55	  -8295.06	  -29.4131	   17948.3	   17948.3	   17948.3
56	  -8272.22	  -6.57324	     17967	     17967	     17967
57	  -8218.56	   47.0869	   17975.4	   17975.4	   17975.4
58	   -8241.4	    24.248	   17964.4	   17964.4	   17964.4
59	  -8326.64	  -60.9902	   17940.5	   17940.5	   17940.5
60	  -8349.06	  -83.4082	   17922.2	   17922.2	   17922.2
61	  -8329.86	  -64.2109	   17920.9	   17920.9	   17920.9
62	  -8326.69	  -61.0381	   17935.4	   17935.4	   17935.4
63	  -8288.95	  -23.2969	   17957.3	   17957.3	   17957.3
64	  -8241.66	   23.9893	     17973	     17973	     17973
65	  -8242.74	   22.9092	   17969.5	   17969.5	   17969.5
66	  -8301.56	  -35.9063	   17946.9	   17946.9	   17946.9
67	  -8361.11	   -95.457	   17920.7	   17920.7	   17920.7
68	   -8369.5	  -103.853	     17907	     17907	     17907
69	  -8350.28	  -84.6299	   17910.5	   17910.5	   17910.5
70	  -8341.97	  -76.3184	   17927.6	   17927.6	   17927.6
71	  -8319.25	  -53.6055	   17950.8	   17950.8	   17950.8
72	   -8244.3	   21.3516	   17964.8	   17964.8	   17964.8
73	  -8248.28	   17.3662	   17953.3	   17953.3	   17953.3
74	  -8372.56	  -106.912	   17921.8	   17921.8	   17921.8
75	  -8424.16	   -158.51	   17896.6	   17896.6	   17896.6
76	   -8373.5	  -107.852	   17893.3	   17893.3	   17893.3
77	   -8353.2	  -87.5459	   17905.5	   17905.5	   17905.5
78	  -8360.75	  -95.1045	   17923.3	   17923.3	   17923.3
79	  -8330.29	  -64.6396	   17941.1	   17941.1	   17941.1
80	  -8279.82	  -14.1699	   17947.4	   17947.4	   17947.4
81	  -8293.18	  -27.5273	   17929.4	   17929.4	   17929.4
82	  -8402.24	  -136.586	   17893.5	   17893.5	   17893.5
83	   -8475.9	  -210.248	   17866.4	   17866.4	   17866.4
84	  -8427.87	  -162.222	   17865.9	   17865.9	   17865.9
85	  -8379.06	  -113.415	   17885.5	   17885.5	   17885.5
86	     -8378	  -112.346	   17909.3	   17909.3	   17909.3
87	  -8339.84	  -74.1914	   17924.9	   17924.9	   17924.9
88	  -8309.53	  -43.8779	   17921.1	   17921.1	   17921.1
89	   -8376.7	  -111.053	   17895.7	   17895.7	   17895.7
90	  -8465.97	   -200.32	   17865.5	   17865.5	   17865.5
