greylevel,thickness
0,1.7644
1,1.7645
2,1.7014
3,1.6775
4,1.6738
5,1.6069
6,1.5522
7,1.5148
8,1.4730
9,1.4259
10,1.3900
11,1.3495
12,1.3047
13,1.2651
14,1.2248
15,1.1865
16,1.1554
17,1.1175
18,1.0819
19,1.0521
20,1.0228
21,0.9851
22,0.9598
23,0.9325
24,0.8997
25,0.8759
26,0.8521
27,0.8249
28,0.8024
29,0.7809
30,0.7555
31,0.7327
32,0.7151
33,0.6964
34,0.6773
35,0.6596
36,0.6402
37,0.6217
38,0.6041
39,0.5889
40,0.5740
41,0.5592
42,0.5452
43,0.5301
44,0.5093
45,0.4963
46,0.4871
47,0.4719
48,0.4560
49,0.4520
50,0.4399
51,0.4232
52,0.4149
53,0.4003
54,0.3890
55,0.3824
56,0.3749
57,0.3607
58,0.3533
59,0.3485
60,0.3322
61,0.3243
62,0.3215
63,0.3089
64,0.3016
65,0.2987
66,0.2881
67,0.2760
68,0.2724
69,0.2646
70,0.2551
71,0.2522
72,0.2466
73,0.2348
74,0.2317
75,0.2270
76,0.2160
77,0.2088
78,0.2093
79,0.1986
80,0.1916
81,0.1905
82,0.1813
83,0.1726
84,0.1692
85,0.1663
86,0.1562
87,0.1552
88,0.1540
89,0.1431
90,0.1380
91,0.1366
92,0.1261
93,0.1190
94,0.1220
95,0.1157
96,0.1100
97,0.1101
98,0.1016
99,0.0918
100,0.0922
101,0.0892
102,0.0816
103,0.0835
104,0.0798
105,0.0717
106,0.0671
107,0.0634
108,0.0571
109,0.0552
110,0.0564
111,0.0521
112,0.0494
113,0.0486
114,0.0434
115,0.0347
116,0.0325
117,0.0327
118,0.0275
119,0.0264
120,0.0275
121,0.0225
122,0.0180
123,0.0153
124,0.0092
125,0.0054
126,0.0092
127,0.0061
