Data	Ramp3_E100_F-20
Recipe	GS_CALIBRATION_V2
Site Name	
Points	4466
X-Resolution	0.200000
X-Coord	-3706.96
Y-Coord	-35622.47
	       Raw	Intermediate	    Normal	 Roughness	  Waviness
1	  -8478.59	         0	   17904.2	   17904.2	   17904.2
2	  -8523.18	  -44.5977	   17938.9	   17938.9	   17938.9
3	  -8394.53	   84.0576	   17977.7	   17977.7	   17977.7
4	   -8316.2	   162.391	   18000.4	   18000.4	   18000.4
5	   -8416.8	     61.79	   17998.7	   17998.7	   17998.7
6	   -8480.5	  -1.91211	   17994.2	   17994.2	   17994.2
7	  -8405.33	    73.252	   18003.2	   18003.2	   18003.2
8	  -8330.62	   147.969	   18009.6	   18009.6	   18009.6
9	  -8374.33	   104.261	   17993.9	   17993.9	   17993.9
10	  -8514.31	  -35.7217	   17971.6	   17971.6	   17971.6
11	  -8525.73	  -47.1445	   17975.1	   17975.1	   17975.1
12	  -8356.59	   121.995	   18002.1	   18002.1	   18002.1
13	  -8309.67	   168.922	   18017.8	   18017.8	   18017.8
14	  -8445.31	   33.2754	   18009.2	   18009.2	   18009.2
15	  -8474.35	   4.23242	   17999.1	   17999.1	   17999.1
16	   -8402.7	   75.8916	   18003.8	   18003.8	   18003.8
17	  -8393.75	   84.8359	   18013.4	   18013.4	   18013.4
18	  -8391.42	   87.1719	     18014	     18014	     18014
19	  -8417.47	   61.1143	   18005.9	   18005.9	   18005.9
20	  -8464.34	    14.249	   18001.9	   18001.9	   18001.9
21	  -8440.36	   38.2266	     18011	     18011	     18011
22	  -8365.02	   113.569	   18022.9	   18022.9	   18022.9
23	   -8364.9	   113.688	   18018.9	   18018.9	   18018.9
24	  -8453.52	   25.0703	   17999.6	   17999.6	   17999.6
25	  -8506.67	  -28.0781	   17988.4	   17988.4	   17988.4
26	  -8461.45	   17.1377	   17999.5	   17999.5	   17999.5
27	  -8361.59	   116.992	   18016.6	   18016.6	   18016.6
28	  -8367.92	   110.664	   18016.2	   18016.2	   18016.2
29	  -8503.02	  -24.4336	   18005.2	   18005.2	   18005.2
30	  -8497.45	  -18.8594	   18007.7	   18007.7	   18007.7
31	  -8343.88	   134.712	   18018.7	   18018.7	   18018.7
32	  -8368.55	   110.041	   18011.1	   18011.1	   18011.1
33	  -8520.83	  -42.2471	   17987.2	   17987.2	   17987.2
34	  -8544.44	  -65.8496	   17979.9	   17979.9	   17979.9
35	  -8443.14	   35.4453	     18001	     18001	     18001
36	  -8360.56	   118.025	   18023.6	   18023.6	   18023.6
